name	x	y	z	type	material
AFz	-0.0012373895244665748	0.113739933711993	0.07038366398270719	active electrode	active electrode
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	active electrode	active electrode
F1	-0.029043954610346055	0.09144847919912263	0.09661865029442487	active electrode	active electrode
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	active electrode	active electrode
F2	0.027967905749604307	0.09186996396743785	0.09577991837531719	active electrode	active electrode
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	active electrode	active electrode
FFC5h	-0.06686352902653826	0.06974264688115664	0.0736205015239651	active electrode	active electrode
FFC3h	-0.04601500527828572	0.07544213075725455	0.09888008108819515	active electrode	active electrode
FFC1h	-0.017015664641201713	0.07913770190235228	0.11468231231471909	active electrode	active electrode
FFC2h	0.016001547616055014	0.07941961071189865	0.1147658118654386	active electrode	active electrode
FFC4h	0.04425027043820236	0.07592116094383365	0.0977899684341279	active electrode	active electrode
FFC6h	0.06550633508622243	0.07059310888541681	0.07269611494300957	active electrode	active electrode
FC5	-0.07890598380592659	0.051367389393278916	0.06296234793922344	active electrode	active electrode
FC3	-0.06185234453174111	0.057133289447271314	0.09376582882952603	active electrode	active electrode
FC1	-0.03571586782937188	0.06171406221864098	0.11798301537735789	active electrode	active electrode
FCz	-0.0012714337533993952	0.06345979225353343	0.12657198384237547	active electrode	active electrode
FC2	0.03313097492028421	0.06182848393513826	0.11678169813445863	active electrode	active electrode
FC4	0.060625474352247244	0.05770741653090674	0.09379461804488445	active electrode	active electrode
FC6	0.07784661183611408	0.05209880614588322	0.062867106289257	active electrode	active electrode
FCC5h	-0.07642982151993696	0.03822199304830107	0.08458791622300095	active electrode	active electrode
FCC3h	-0.0527727896179586	0.04265327086193818	0.11344851959804028	active electrode	active electrode
FCC1h	-0.01993062088877446	0.0454781516627349	0.1314628273525791	active electrode	active electrode
FCC2h	0.01707549620158059	0.04544529289895166	0.13048864783787642	active electrode	active electrode
FCC4h	0.05016458853394461	0.04285739803535077	0.112544712111139	active electrode	active electrode
FCC6h	0.07526689570598781	0.03871549314945108	0.08457229610024014	active electrode	active electrode
C5	-0.08208530618179086	0.019293632972432445	0.0694896677281912	active electrode	active electrode
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	active electrode	active electrode
C1	-0.037937831285299435	0.026337454328592032	0.12977060888830635	active electrode	active electrode
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	active electrode	active electrode
C2	0.035892709469692044	0.026358135962367156	0.12841234097161527	active electrode	active electrode
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	active electrode	active electrode
C6	0.08165316193008805	0.01969565410623155	0.06948180710557077	active electrode	active electrode
CCP5h	-0.07826500515009983	0.00447032637524759	0.09041886017275635	active electrode	active electrode
CCP3h	-0.054776942482438994	0.00697069591999255	0.12140925437600886	active electrode	active electrode
CCP1h	-0.02019746709119033	0.008445162560540394	0.13926342252024768	active electrode	active electrode
CCP2h	0.018376896812080604	0.00847873237248152	0.13920563496069432	active electrode	active electrode
CCP4h	0.05326625480005486	0.007114711404477392	0.12154949436121229	active electrode	active electrode
CCP6h	0.07714973999287478	0.00468389788303818	0.09078695571233883	active electrode	active electrode
CP5	-0.0815135185591705	-0.013345688457798027	0.07313262712367748	active electrode	active electrode
CP3	-0.06547224097149225	-0.011896599111525148	0.10777792004227077	active electrode	active electrode
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	active electrode	active electrode
CPz	-0.0015249123600369623	-0.010518376261361682	0.1415491439763013	active electrode	active electrode
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	active electrode	active electrode
CP4	0.0646962476012671	-0.011991179362648905	0.10771287092399104	active electrode	active electrode
CP6	0.08140110027360135	-0.01346204793715924	0.07336367003861735	active electrode	active electrode
CPP5h	-0.07009163305768844	-0.02886089104879116	0.09033949023032642	active electrode	active electrode
CPP3h	-0.048891196141232406	-0.0290616364656601	0.11843565567870137	active electrode	active electrode
CPP1h	-0.017797415505189155	-0.029181353979045335	0.13432965497085517	active electrode	active electrode
CPP2h	0.017442629991115784	-0.029231560207394685	0.13556836528857327	active electrode	active electrode
CPP4h	0.04869709671777456	-0.029153328922719508	0.11925644720961329	active electrode	active electrode
CPP6h	0.06911974732660886	-0.029002013731341616	0.09039544366284677	active electrode	active electrode
P5	-0.06929984778304407	-0.043226969304827736	0.07225380245654861	active electrode	active electrode
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	active electrode	active electrode
P1	-0.030653624162682504	-0.04492738508964679	0.11947204537971742	active electrode	active electrode
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	active electrode	active electrode
P2	0.029886386222411618	-0.04503254404940618	0.12074781507025559	active electrode	active electrode
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	active electrode	active electrode
P6	0.06586061191164945	-0.0433385196931155	0.07194130862688547	active electrode	active electrode
PPO1h	-0.014125748545158825	-0.05761106432779896	0.11024412354708296	active electrode	active electrode
PPO2h	0.01184407097552229	-0.057708308283456786	0.11169671363776598	active electrode	active electrode
POz	-0.0018998318804281135	-0.06805409903094144	0.0959099993612478	active electrode	active electrode
